n_lang,unit,sex,geo\time	2016 	2011 	2007 
0,PC,F,AL	64.8 	: 	: 
0,PC,F,AT	12.4 	19.7 	20.1 
0,PC,F,BA	62.8 	: 	: 
0,PC,F,BE	22.2 	45.0 b	33.6 
0,PC,F,BG	48.3 	59.2 b	42.7 
0,PC,F,CH	7.6 	10.7 	: 
0,PC,F,CY	10.4 	17.3 	16.7 
0,PC,F,CZ	19.2 	29.3 	29.6 
0,PC,F,DE	20.7 	21.9 	28.6 
0,PC,F,DK	3.7 	5.4 	12.0 
0,PC,F,EA19	29.6 	33.7 	35.4 
0,PC,F,EE	8.0 	14.1 	11.3 
0,PC,F,EL	32.2 	41.2 	43.6 
0,PC,F,ES	44.8 	49.2 	47.1 
0,PC,F,EU28	34.7 	34.1 	36.9 
0,PC,F,FI	5.3 	5.9 	11.8 
0,PC,F,FR	40.1 	41.8 b	41.0 
0,PC,F,HR	27.1 	: 	32.2 
0,PC,F,HU	57.8 	63.0 b	74.1 
0,PC,F,IE	: 	70.4 	: 
0,PC,F,IT	33.6 	38.9 	38.9 
0,PC,F,LT	4.4 	2.2 	2.6 
0,PC,F,LU	5.8 b	: u	: 
0,PC,F,LV	3.7 	4.1 	3.5 u
0,PC,F,MK	38.0 	: 	: 
0,PC,F,MT	5.8 	7.8 	6.7 
0,PC,F,NL	15.7 	16.7 	: 
0,PC,F,NO	7.9 	4.8 	3.2 u
0,PC,F,PL	30.5 	36.0 	34.9 
0,PC,F,PT	32.2 	42.6 	53.0 
0,PC,F,RO	62.9 	: 	69.5 
0,PC,F,RS	21.7 	39.3 	: 
0,PC,F,SE	3.2 bu	8.4 	5.0 
0,PC,F,SI	19.0 	9.1 	9.6 
0,PC,F,SK	10.9 	12.9 	7.5 
0,PC,F,TR	: 	85.9 	80.8 
0,PC,F,UK	63.7 b	: 	35.5 
0,PC,M,AL	55.2 	: 	: 
0,PC,M,AT	15.1 	24.1 	20.5 
0,PC,M,BA	59.6 	: 	: 
0,PC,M,BE	20.8 	39.3 b	30.7 
0,PC,M,BG	52.7 	62.9 b	45.7 
0,PC,M,CH	9.1 	13.4 	: 
0,PC,M,CY	10.6 	14.8 	12.6 
0,PC,M,CZ	22.8 	32.5 	34.2 
0,PC,M,DE	21.9 	21.1 	28.6 
0,PC,M,DK	4.7 	6.3 	12.1 
0,PC,M,EA19	30.0 	33.4 	35.1 
0,PC,M,EE	9.6 	15.0 	16.2 
0,PC,M,EL	34.8 	42.5 	43.1 
0,PC,M,ES	46.8 	48.6 	46.2 
